final_url,source_file,page_type,http_status_build,indexable,canonical_url,title,meta_description,h1,h2_headings,approx_word_count,primary_topic,primary_city,primary_service,inbound_internal_link_count,outbound_internal_link_count,inbound_from,outbound_to,structured_data_types,in_sitemap,robots_txt_allows,duplicate_or_similar_notes
https://www.eyshandyman.com/,src/pages/index.astro,home,200,True,https://www.eyshandyman.com/,Veteran-Owned Handyman | Katy & West Houston | EYS,"Looking for a handyman near you in Katy or West Houston? Veteran-owned Elevate Your Space handles repairs, TV mounting, and upgrades. Free estimates.",Veteran-Owned Handyman for Katy & West Houston,Get a clear estimate || Choose the Right Way to Get Started || Trusted Handyman Across Katy & West Houston || Home Repair & Remodeling Across Katy & West Houston || Our Services || Why Choose Elevate Your Space || Customer Reviews || Veteran Owned & Operated || Frequently Asked Questions || Proudly serving Katy and West Houston || Get Started Today,1209,handyman,Katy,handyman,77,48,/ /404/ /about/ /bathroom-remodeling-richmond/ /bathroom-remodeling-services-katy/ /blog/ /blog/hoa-patio-updates-bridgeland/ /blog/move-in-upgrades-sunterra/ /book/ /contact/ /custom-cabinets-katy/ /custom-cabinets-richmond/ /door-installation-richmond/ /door-installation-services-katy/ /drywall-repair-katy/ /drywall-repair-richmond/ /electricians-katy/ /electricians-richmond/ /floor-and-decor-katy/ /floor-and-decor-richmond/ /handyman-service-richmond/ /home2/ /house-painting-katy/ /house-painting-richmond/ /kitchen-remodeling-katy/,/ /about/ /blog/ /book/ /contact/ /our-work/ /pricing/ /privacy/ /reviews/ /service-areas/ /service-areas/cypress/ /service-areas/cypress/bridgeland-handyman/ /service-areas/cypress/towne-lake-handyman/ /service-areas/fulshear/ /service-areas/fulshear/cross-creek-ranch-handyman/ /service-areas/fulshear/jordan-ranch-handyman/ /service-areas/katy/ /service-areas/katy/cane-island-handyman/ /service-areas/katy/cinco-ranch-handyman/ /service-areas/katy/elyson-handyman/ /service-areas/katy/sunterra-handyman/ /service-areas/katy/tamarron-handyman/ /service-areas/richmond/ /service-areas/richmond/aliana-handyman/ /service-areas/richmond/harvest-green-handyman/ /service-areas/richmond/veranda-handyman/ /service-areas/west-houston/ /services/ /services/bathroom-remodeling/ /services/cabinet-installation/ /services/ceiling-fan-installation/ /services/curtain-installation/ /services/custom-carpentry/ /services/door-repair-installation/ /services/drywall-repair/ /services/electrical-services/ /services/flooring-and-decor/ /services/furniture-assembly/ /services/general-handyman-services/ /services/handyman-to-do-list/,FAQPage | HomeAndConstructionBusiness,True,Allow: / (site robots.txt),/home2/ (identical H1)
https://www.eyshandyman.com/404/,unknown,error,200,False,https://www.eyshandyman.com/404/,Page Not Found | Elevate Your Space Handyman,The page you are looking for could not be found.,Page not found,,23,handyman,multi/regional,handyman,0,48,,/ /about/ /blog/ /book/ /contact/ /our-work/ /pricing/ /privacy/ /reviews/ /service-areas/ /service-areas/cypress/ /service-areas/cypress/bridgeland-handyman/ /service-areas/cypress/towne-lake-handyman/ /service-areas/fulshear/ /service-areas/fulshear/cross-creek-ranch-handyman/ /service-areas/fulshear/jordan-ranch-handyman/ /service-areas/katy/ /service-areas/katy/cane-island-handyman/ /service-areas/katy/cinco-ranch-handyman/ /service-areas/katy/elyson-handyman/ /service-areas/katy/sunterra-handyman/ /service-areas/katy/tamarron-handyman/ /service-areas/richmond/ /service-areas/richmond/aliana-handyman/ /service-areas/richmond/harvest-green-handyman/ /service-areas/richmond/veranda-handyman/ /service-areas/west-houston/ /services/ /services/bathroom-remodeling/ /services/cabinet-installation/ /services/ceiling-fan-installation/ /services/curtain-installation/ /services/custom-carpentry/ /services/door-repair-installation/ /services/drywall-repair/ /services/electrical-services/ /services/flooring-and-decor/ /services/furniture-assembly/ /services/general-handyman-services/ /services/handyman-to-do-list/,,False,Allow: / (site robots.txt),
https://www.eyshandyman.com/about/,src/pages/about.astro,about,200,True,https://www.eyshandyman.com/about/,About Us | Elevate Your Space Handyman,"Meet Eyad Essa (Essa), founder of Elevate Your Space — a veteran-owned handyman company serving Katy and West Houston.",Veteran-Owned. Katy-Based. Built on Trust.,"How EYS started || What we do || How we work || A local company built on reputation || Where we work || Cypress, TX || Fulshear, TX || Katy, TX || Richmond, TX || West Houston, TX || Ready to elevate your Katy & West Houston home?",746,handyman,Katy,handyman,77,48,/ /404/ /about/ /bathroom-remodeling-richmond/ /bathroom-remodeling-services-katy/ /blog/ /blog/hoa-patio-updates-bridgeland/ /blog/move-in-upgrades-sunterra/ /book/ /contact/ /custom-cabinets-katy/ /custom-cabinets-richmond/ /door-installation-richmond/ /door-installation-services-katy/ /drywall-repair-katy/ /drywall-repair-richmond/ /electricians-katy/ /electricians-richmond/ /floor-and-decor-katy/ /floor-and-decor-richmond/ /handyman-service-richmond/ /home2/ /house-painting-katy/ /house-painting-richmond/ /kitchen-remodeling-katy/,/ /about/ /blog/ /book/ /contact/ /our-work/ /pricing/ /privacy/ /reviews/ /service-areas/ /service-areas/cypress/ /service-areas/cypress/bridgeland-handyman/ /service-areas/cypress/towne-lake-handyman/ /service-areas/fulshear/ /service-areas/fulshear/cross-creek-ranch-handyman/ /service-areas/fulshear/jordan-ranch-handyman/ /service-areas/katy/ /service-areas/katy/cane-island-handyman/ /service-areas/katy/cinco-ranch-handyman/ /service-areas/katy/elyson-handyman/ /service-areas/katy/sunterra-handyman/ /service-areas/katy/tamarron-handyman/ /service-areas/richmond/ /service-areas/richmond/aliana-handyman/ /service-areas/richmond/harvest-green-handyman/ /service-areas/richmond/veranda-handyman/ /service-areas/west-houston/ /services/ /services/bathroom-remodeling/ /services/cabinet-installation/ /services/ceiling-fan-installation/ /services/curtain-installation/ /services/custom-carpentry/ /services/door-repair-installation/ /services/drywall-repair/ /services/electrical-services/ /services/flooring-and-decor/ /services/furniture-assembly/ /services/general-handyman-services/ /services/handyman-to-do-list/,BreadcrumbList | HomeAndConstructionBusiness | WebPage,True,Allow: / (site robots.txt),
https://www.eyshandyman.com/bathroom-remodeling-richmond/,src/content/city-services/bathroom-remodeling-richmond.md + src/pages/[legacySlug].astro,legacy-city-service,200,True,https://www.eyshandyman.com/bathroom-remodeling-richmond/,"Bathroom Remodeling in Richmond, TX | Elevate Your Space Handyman","Bathroom upgrades in Richmond, TX — fixtures, hardware, vanity installs, and punch-list remodeling for Fort Bend homes.","Bathroom Remodeling in Richmond, TX","Local service details || Bathroom remodeling in Richmond and Fort Bend || What we handle in Richmond, TX || How it works || Frequently asked questions || Explore related pages || Ready to elevate your Richmond, TX home?",327,handyman,Richmond,handyman,2,48,/services/bathroom-remodeling/ /sitemap/,/ /about/ /blog/ /book/ /contact/ /our-work/ /pricing/ /privacy/ /reviews/ /service-areas/ /service-areas/cypress/ /service-areas/cypress/bridgeland-handyman/ /service-areas/cypress/towne-lake-handyman/ /service-areas/fulshear/ /service-areas/fulshear/cross-creek-ranch-handyman/ /service-areas/fulshear/jordan-ranch-handyman/ /service-areas/katy/ /service-areas/katy/cane-island-handyman/ /service-areas/katy/cinco-ranch-handyman/ /service-areas/katy/elyson-handyman/ /service-areas/katy/sunterra-handyman/ /service-areas/katy/tamarron-handyman/ /service-areas/richmond/ /service-areas/richmond/aliana-handyman/ /service-areas/richmond/harvest-green-handyman/ /service-areas/richmond/veranda-handyman/ /service-areas/west-houston/ /services/ /services/bathroom-remodeling/ /services/cabinet-installation/ /services/ceiling-fan-installation/ /services/curtain-installation/ /services/custom-carpentry/ /services/door-repair-installation/ /services/drywall-repair/ /services/electrical-services/ /services/flooring-and-decor/ /services/furniture-assembly/ /services/general-handyman-services/ /services/handyman-to-do-list/,BreadcrumbList | FAQPage | Service | WebPage,True,Allow: / (site robots.txt),
https://www.eyshandyman.com/bathroom-remodeling-services-katy/,src/content/city-services/bathroom-remodeling-services-katy.md + src/pages/[legacySlug].astro,legacy-city-service,200,True,https://www.eyshandyman.com/bathroom-remodeling-services-katy/,"Bathroom Remodeling in Katy, TX | Elevate Your Space Handyman","Bathroom upgrades in Katy, TX — vanities, fixtures, hardware, and punch-list remodeling for suburban homes.","Bathroom Remodeling in Katy, TX","Local service details || Bathroom upgrades for Katy’s established homes || What we handle in Katy, TX || How it works || Frequently asked questions || Explore related pages || Ready to elevate your Katy, TX home?",356,handyman,Katy,handyman,2,48,/services/bathroom-remodeling/ /sitemap/,/ /about/ /blog/ /book/ /contact/ /our-work/ /pricing/ /privacy/ /reviews/ /service-areas/ /service-areas/cypress/ /service-areas/cypress/bridgeland-handyman/ /service-areas/cypress/towne-lake-handyman/ /service-areas/fulshear/ /service-areas/fulshear/cross-creek-ranch-handyman/ /service-areas/fulshear/jordan-ranch-handyman/ /service-areas/katy/ /service-areas/katy/cane-island-handyman/ /service-areas/katy/cinco-ranch-handyman/ /service-areas/katy/elyson-handyman/ /service-areas/katy/sunterra-handyman/ /service-areas/katy/tamarron-handyman/ /service-areas/richmond/ /service-areas/richmond/aliana-handyman/ /service-areas/richmond/harvest-green-handyman/ /service-areas/richmond/veranda-handyman/ /service-areas/west-houston/ /services/ /services/bathroom-remodeling/ /services/cabinet-installation/ /services/ceiling-fan-installation/ /services/curtain-installation/ /services/custom-carpentry/ /services/door-repair-installation/ /services/drywall-repair/ /services/electrical-services/ /services/flooring-and-decor/ /services/furniture-assembly/ /services/general-handyman-services/ /services/handyman-to-do-list/,BreadcrumbList | FAQPage | Service | WebPage,True,Allow: / (site robots.txt),
https://www.eyshandyman.com/blog/,src/pages/blog/index.astro,blog-index,200,True,https://www.eyshandyman.com/blog/,Blog | Elevate Your Space Handyman,"Homeowner tips, project guides, and local handyman advice from Elevate Your Space Handyman in Katy and West Houston.",Blog,Move-In Upgrades for New Sunterra Homes || HOA-Friendly Patio Updates in Bridgeland,71,handyman,Katy,handyman,77,50,/ /404/ /about/ /bathroom-remodeling-richmond/ /bathroom-remodeling-services-katy/ /blog/ /blog/hoa-patio-updates-bridgeland/ /blog/move-in-upgrades-sunterra/ /book/ /contact/ /custom-cabinets-katy/ /custom-cabinets-richmond/ /door-installation-richmond/ /door-installation-services-katy/ /drywall-repair-katy/ /drywall-repair-richmond/ /electricians-katy/ /electricians-richmond/ /floor-and-decor-katy/ /floor-and-decor-richmond/ /handyman-service-richmond/ /home2/ /house-painting-katy/ /house-painting-richmond/ /kitchen-remodeling-katy/,/ /about/ /blog/ /blog/hoa-patio-updates-bridgeland/ /blog/move-in-upgrades-sunterra/ /book/ /contact/ /our-work/ /pricing/ /privacy/ /reviews/ /service-areas/ /service-areas/cypress/ /service-areas/cypress/bridgeland-handyman/ /service-areas/cypress/towne-lake-handyman/ /service-areas/fulshear/ /service-areas/fulshear/cross-creek-ranch-handyman/ /service-areas/fulshear/jordan-ranch-handyman/ /service-areas/katy/ /service-areas/katy/cane-island-handyman/ /service-areas/katy/cinco-ranch-handyman/ /service-areas/katy/elyson-handyman/ /service-areas/katy/sunterra-handyman/ /service-areas/katy/tamarron-handyman/ /service-areas/richmond/ /service-areas/richmond/aliana-handyman/ /service-areas/richmond/harvest-green-handyman/ /service-areas/richmond/veranda-handyman/ /service-areas/west-houston/ /services/ /services/bathroom-remodeling/ /services/cabinet-installation/ /services/ceiling-fan-installation/ /services/curtain-installation/ /services/custom-carpentry/ /services/door-repair-installation/ /services/drywall-repair/ /services/electrical-services/ /services/flooring-and-decor/ /services/furniture-assembly/,BreadcrumbList | WebPage,True,Allow: / (site robots.txt),
https://www.eyshandyman.com/blog/hoa-patio-updates-bridgeland/,src/content/blog/hoa-patio-updates-bridgeland.md + src/pages/blog/[slug].astro,blog-post,200,True,https://www.eyshandyman.com/blog/hoa-patio-updates-bridgeland/,HOA-Friendly Patio Updates in Bridgeland | EYS Handyman,Planning exterior patio improvements in Bridgeland? Tips for HOA-compliant upgrades and professional handyman support in Cypress.,HOA-Friendly Patio Updates in Bridgeland,Common patio projects we help with || Working with ARC guidelines || Why Bridgeland patios are different || Next steps,252,handyman,Bridgeland,handyman,2,48,/blog/ /sitemap/,/ /about/ /blog/ /book/ /contact/ /our-work/ /pricing/ /privacy/ /reviews/ /service-areas/ /service-areas/cypress/ /service-areas/cypress/bridgeland-handyman/ /service-areas/cypress/towne-lake-handyman/ /service-areas/fulshear/ /service-areas/fulshear/cross-creek-ranch-handyman/ /service-areas/fulshear/jordan-ranch-handyman/ /service-areas/katy/ /service-areas/katy/cane-island-handyman/ /service-areas/katy/cinco-ranch-handyman/ /service-areas/katy/elyson-handyman/ /service-areas/katy/sunterra-handyman/ /service-areas/katy/tamarron-handyman/ /service-areas/richmond/ /service-areas/richmond/aliana-handyman/ /service-areas/richmond/harvest-green-handyman/ /service-areas/richmond/veranda-handyman/ /service-areas/west-houston/ /services/ /services/bathroom-remodeling/ /services/cabinet-installation/ /services/ceiling-fan-installation/ /services/curtain-installation/ /services/custom-carpentry/ /services/door-repair-installation/ /services/drywall-repair/ /services/electrical-services/ /services/flooring-and-decor/ /services/furniture-assembly/ /services/general-handyman-services/ /services/handyman-to-do-list/,BlogPosting | BreadcrumbList | WebPage,True,Allow: / (site robots.txt),
https://www.eyshandyman.com/blog/move-in-upgrades-sunterra/,src/content/blog/move-in-upgrades-sunterra.md + src/pages/blog/[slug].astro,blog-post,200,True,https://www.eyshandyman.com/blog/move-in-upgrades-sunterra/,Move-In Upgrades for New Sunterra Homes | EYS Handyman,Planning a move to Sunterra in Katy? Here are the most-requested post-closing handyman upgrades for new construction homes.,Move-In Upgrades for New Sunterra Homes,Top move-in upgrades we handle in Sunterra || Why new Sunterra homes need a handyman early || Book before closing,241,handyman,Sunterra,handyman,2,48,/blog/ /sitemap/,/ /about/ /blog/ /book/ /contact/ /our-work/ /pricing/ /privacy/ /reviews/ /service-areas/ /service-areas/cypress/ /service-areas/cypress/bridgeland-handyman/ /service-areas/cypress/towne-lake-handyman/ /service-areas/fulshear/ /service-areas/fulshear/cross-creek-ranch-handyman/ /service-areas/fulshear/jordan-ranch-handyman/ /service-areas/katy/ /service-areas/katy/cane-island-handyman/ /service-areas/katy/cinco-ranch-handyman/ /service-areas/katy/elyson-handyman/ /service-areas/katy/sunterra-handyman/ /service-areas/katy/tamarron-handyman/ /service-areas/richmond/ /service-areas/richmond/aliana-handyman/ /service-areas/richmond/harvest-green-handyman/ /service-areas/richmond/veranda-handyman/ /service-areas/west-houston/ /services/ /services/bathroom-remodeling/ /services/cabinet-installation/ /services/ceiling-fan-installation/ /services/curtain-installation/ /services/custom-carpentry/ /services/door-repair-installation/ /services/drywall-repair/ /services/electrical-services/ /services/flooring-and-decor/ /services/furniture-assembly/ /services/general-handyman-services/ /services/handyman-to-do-list/,BlogPosting | BreadcrumbList | WebPage,True,Allow: / (site robots.txt),
https://www.eyshandyman.com/book/,src/pages/book.astro,book,200,True,https://www.eyshandyman.com/book/,Book Service | Elevate Your Space Handyman,"Book a Handyman To-Do List Visit, request a project estimate, or start a TV mounting request with Elevate Your Space Handyman in Katy and West Houston.",Book or Request Service,Handyman To-Do List Visit || Project Estimate Request || Tell Us About Your TV Mounting Project || Ready to elevate your Katy & West Houston home?,127,handyman,Katy,handyman,77,48,/ /404/ /about/ /bathroom-remodeling-richmond/ /bathroom-remodeling-services-katy/ /blog/ /blog/hoa-patio-updates-bridgeland/ /blog/move-in-upgrades-sunterra/ /book/ /contact/ /custom-cabinets-katy/ /custom-cabinets-richmond/ /door-installation-richmond/ /door-installation-services-katy/ /drywall-repair-katy/ /drywall-repair-richmond/ /electricians-katy/ /electricians-richmond/ /floor-and-decor-katy/ /floor-and-decor-richmond/ /handyman-service-richmond/ /home2/ /house-painting-katy/ /house-painting-richmond/ /kitchen-remodeling-katy/,/ /about/ /blog/ /book/ /contact/ /our-work/ /pricing/ /privacy/ /reviews/ /service-areas/ /service-areas/cypress/ /service-areas/cypress/bridgeland-handyman/ /service-areas/cypress/towne-lake-handyman/ /service-areas/fulshear/ /service-areas/fulshear/cross-creek-ranch-handyman/ /service-areas/fulshear/jordan-ranch-handyman/ /service-areas/katy/ /service-areas/katy/cane-island-handyman/ /service-areas/katy/cinco-ranch-handyman/ /service-areas/katy/elyson-handyman/ /service-areas/katy/sunterra-handyman/ /service-areas/katy/tamarron-handyman/ /service-areas/richmond/ /service-areas/richmond/aliana-handyman/ /service-areas/richmond/harvest-green-handyman/ /service-areas/richmond/veranda-handyman/ /service-areas/west-houston/ /services/ /services/bathroom-remodeling/ /services/cabinet-installation/ /services/ceiling-fan-installation/ /services/curtain-installation/ /services/custom-carpentry/ /services/door-repair-installation/ /services/drywall-repair/ /services/electrical-services/ /services/flooring-and-decor/ /services/furniture-assembly/ /services/general-handyman-services/ /services/handyman-to-do-list/,BreadcrumbList | WebPage,True,Allow: / (site robots.txt),
https://www.eyshandyman.com/contact/,src/pages/contact.astro,contact,200,True,https://www.eyshandyman.com/contact/,Contact Us | Elevate Your Space Handyman,"Contact Elevate Your Space Handyman for handyman services in Katy and West Houston. Call, email, or request next steps for your project.",Contact Elevate Your Space Handyman,Reach us directly || Request service,87,handyman,Katy,handyman,77,48,/ /404/ /about/ /bathroom-remodeling-richmond/ /bathroom-remodeling-services-katy/ /blog/ /blog/hoa-patio-updates-bridgeland/ /blog/move-in-upgrades-sunterra/ /book/ /contact/ /custom-cabinets-katy/ /custom-cabinets-richmond/ /door-installation-richmond/ /door-installation-services-katy/ /drywall-repair-katy/ /drywall-repair-richmond/ /electricians-katy/ /electricians-richmond/ /floor-and-decor-katy/ /floor-and-decor-richmond/ /handyman-service-richmond/ /home2/ /house-painting-katy/ /house-painting-richmond/ /kitchen-remodeling-katy/,/ /about/ /blog/ /book/ /contact/ /our-work/ /pricing/ /privacy/ /reviews/ /service-areas/ /service-areas/cypress/ /service-areas/cypress/bridgeland-handyman/ /service-areas/cypress/towne-lake-handyman/ /service-areas/fulshear/ /service-areas/fulshear/cross-creek-ranch-handyman/ /service-areas/fulshear/jordan-ranch-handyman/ /service-areas/katy/ /service-areas/katy/cane-island-handyman/ /service-areas/katy/cinco-ranch-handyman/ /service-areas/katy/elyson-handyman/ /service-areas/katy/sunterra-handyman/ /service-areas/katy/tamarron-handyman/ /service-areas/richmond/ /service-areas/richmond/aliana-handyman/ /service-areas/richmond/harvest-green-handyman/ /service-areas/richmond/veranda-handyman/ /service-areas/west-houston/ /services/ /services/bathroom-remodeling/ /services/cabinet-installation/ /services/ceiling-fan-installation/ /services/curtain-installation/ /services/custom-carpentry/ /services/door-repair-installation/ /services/drywall-repair/ /services/electrical-services/ /services/flooring-and-decor/ /services/furniture-assembly/ /services/general-handyman-services/ /services/handyman-to-do-list/,BreadcrumbList | HomeAndConstructionBusiness | WebPage,True,Allow: / (site robots.txt),
https://www.eyshandyman.com/custom-cabinets-katy/,src/content/city-services/custom-cabinets-katy.md + src/pages/[legacySlug].astro,legacy-city-service,200,True,https://www.eyshandyman.com/custom-cabinets-katy/,"Custom Cabinets in Katy, TX | Elevate Your Space Handyman","Custom cabinet and built-in carpentry in Katy, TX — pantries, laundry storage, and tailored built-ins.","Custom Cabinets in Katy, TX","Local service details || Cabinets and custom carpentry for Katy kitchens || What we handle in Katy, TX || How it works || Frequently asked questions || Explore related pages || Ready to elevate your Katy, TX home?",344,handyman,Katy,handyman,1,48,/sitemap/,/ /about/ /blog/ /book/ /contact/ /our-work/ /pricing/ /privacy/ /reviews/ /service-areas/ /service-areas/cypress/ /service-areas/cypress/bridgeland-handyman/ /service-areas/cypress/towne-lake-handyman/ /service-areas/fulshear/ /service-areas/fulshear/cross-creek-ranch-handyman/ /service-areas/fulshear/jordan-ranch-handyman/ /service-areas/katy/ /service-areas/katy/cane-island-handyman/ /service-areas/katy/cinco-ranch-handyman/ /service-areas/katy/elyson-handyman/ /service-areas/katy/sunterra-handyman/ /service-areas/katy/tamarron-handyman/ /service-areas/richmond/ /service-areas/richmond/aliana-handyman/ /service-areas/richmond/harvest-green-handyman/ /service-areas/richmond/veranda-handyman/ /service-areas/west-houston/ /services/ /services/bathroom-remodeling/ /services/cabinet-installation/ /services/ceiling-fan-installation/ /services/curtain-installation/ /services/custom-carpentry/ /services/door-repair-installation/ /services/drywall-repair/ /services/electrical-services/ /services/flooring-and-decor/ /services/furniture-assembly/ /services/general-handyman-services/ /services/handyman-to-do-list/,BreadcrumbList | FAQPage | Service | WebPage,True,Allow: / (site robots.txt),
